WorkItemId,Title,LinkedWorkItemId,LinkedTitle,LinkedType
44346,Enabler/ Smart Discovery (DevBox),42257,Enabler/ Smart Discovery (DevBox),User Story
476659,Sample Test Case,42448,Sample Test Case,Test Case
44346,Enabler/ Smart Discovery (DevBox),44341,Search/Filter components/assemblies from structure using smart discovery,Test Case
476702,Search/Filter components/assemblies from structure using smart discovery,44341,Search/Filter components/assemblies from structure using smart discovery,Test Case
476703,Enabler/ Smart Discovery (DevBox),44341,Search/Filter components/assemblies from structure using smart discovery,Test Case
476675,Create_Save_dwg_in_TC,43259,Create_Save_dwg_in_TC,Test Case
476680,Open_Edit_Save_dwg_back_to_TC,43387,Open_Edit_Save_dwg_back_to_TC,Test Case
42297,Visibility of change for different User only after Check-in,42154,Create an Assembly part,Test Case
43537,Freeze assembly part,42154,Create an Assembly part,Test Case
42023,Change meta data of an assembly part,42154,Create an Assembly part,Test Case
42022,Check-out of assembly part,42154,Create an Assembly part,Test Case
42189,Check-out already checked-out assembly part,42154,Create an Assembly part,Test Case
42399,Add a standard part to an assembly part,42154,Create an Assembly part,Test Case
42191,"Check-out, edit and cancel check-out",42154,Create an Assembly part,Test Case
42194,"User A Checked-out an assembly Part, User B can't see changes of the assembly Part",42154,Create an Assembly part,Test Case
42635,Add a part to an assembly part,42154,Create an Assembly part,Test Case
43400,Adding an existing assembly part to product EBOM,42154,Create an Assembly part,Test Case
476637,Check-out of assembly part,42154,Create an Assembly part,Test Case
476638,Change meta data of an assembly part,42154,Create an Assembly part,Test Case
476642,Create an Assembly part,42154,Create an Assembly part,Test Case
476644,Check-out already checked-out assembly part,42154,Create an Assembly part,Test Case
476645,"Check-out, edit and cancel check-out",42154,Create an Assembly part,Test Case
476646,"User A Checked-out an assembly Part, User B can't see changes of the assembly Part",42154,Create an Assembly part,Test Case
476647,Visibility of change for different User only after Check-in,42154,Create an Assembly part,Test Case
476656,Add a standard part to an assembly part,42154,Create an Assembly part,Test Case
476662,Add a part to an assembly part,42154,Create an Assembly part,Test Case
476681,Adding an existing assembly part to product EBOM,42154,Create an Assembly part,Test Case
476686,Freeze assembly part,42154,Create an Assembly part,Test Case
44183,Validating the defined access rules,38068,Create a concept and defining Read Access Rules,User Story
44250,Validating Access Rules : check access on released object,38068,Create a concept and defining Read Access Rules,User Story
476696,Validating the defined access rules,38068,Create a concept and defining Read Access Rules,User Story
476697,Validating Access Rules : check access on released object,38068,Create a concept and defining Read Access Rules,User Story
42022,Check-out of assembly part,42189,Check-out already checked-out assembly part,Test Case
42154,Create an Assembly part,42189,Check-out already checked-out assembly part,Test Case
476637,Check-out of assembly part,42189,Check-out already checked-out assembly part,Test Case
476642,Create an Assembly part,42189,Check-out already checked-out assembly part,Test Case
476644,Check-out already checked-out assembly part,42189,Check-out already checked-out assembly part,Test Case
42154,Create an Assembly part,42022,Check-out of assembly part,Test Case
42189,Check-out already checked-out assembly part,42022,Check-out of assembly part,Test Case
476637,Check-out of assembly part,42022,Check-out of assembly part,Test Case
476642,Create an Assembly part,42022,Check-out of assembly part,Test Case
476644,Check-out already checked-out assembly part,42022,Check-out of assembly part,Test Case
42154,Create an Assembly part,42023,Change meta data of an assembly part,Test Case
476638,Change meta data of an assembly part,42023,Change meta data of an assembly part,Test Case
476642,Create an Assembly part,42023,Change meta data of an assembly part,Test Case
42154,Create an Assembly part,42191,"Check-out, edit and cancel check-out",Test Case
476642,Create an Assembly part,42191,"Check-out, edit and cancel check-out",Test Case
476645,"Check-out, edit and cancel check-out",42191,"Check-out, edit and cancel check-out",Test Case
42154,Create an Assembly part,42194,"User A Checked-out an assembly Part, User B can't see changes of the assembly Part",Test Case
476642,Create an Assembly part,42194,"User A Checked-out an assembly Part, User B can't see changes of the assembly Part",Test Case
476646,"User A Checked-out an assembly Part, User B can't see changes of the assembly Part",42194,"User A Checked-out an assembly Part, User B can't see changes of the assembly Part",Test Case
42154,Create an Assembly part,42297,Visibility of change for different User only after Check-in,Test Case
476642,Create an Assembly part,42297,Visibility of change for different User only after Check-in,Test Case
476647,Visibility of change for different User only after Check-in,42297,Visibility of change for different User only after Check-in,Test Case
42154,Create an Assembly part,42399,Add a standard part to an assembly part,Test Case
476642,Create an Assembly part,42399,Add a standard part to an assembly part,Test Case
476656,Add a standard part to an assembly part,42399,Add a standard part to an assembly part,Test Case
42154,Create an Assembly part,42635,Add a part to an assembly part,Test Case
476642,Create an Assembly part,42635,Add a part to an assembly part,Test Case
476662,Add a part to an assembly part,42635,Add a part to an assembly part,Test Case
42154,Create an Assembly part,43400,Adding an existing assembly part to product EBOM,Test Case
43143,Creating a new EBOM,43400,Adding an existing assembly part to product EBOM,Test Case
476642,Create an Assembly part,43400,Adding an existing assembly part to product EBOM,Test Case
476671,Creating a new EBOM,43400,Adding an existing assembly part to product EBOM,Test Case
476681,Adding an existing assembly part to product EBOM,43400,Adding an existing assembly part to product EBOM,Test Case
42154,Create an Assembly part,43537,Freeze assembly part,Test Case
476642,Create an Assembly part,43537,Freeze assembly part,Test Case
476686,Freeze assembly part,43537,Freeze assembly part,Test Case
476689,Visualizing big parts within AW,43897,Visualizing big parts within AW,Test Case
43136,Search and Open Assembly in NX Managed mode,36677,Search and open assemblies in NX managed mode,User Story
476670,Search and Open Assembly in NX Managed mode,36677,Search and open assemblies in NX managed mode,User Story
43136,Search and Open Assembly in NX Managed mode,43153,Search and Open Assembly using NX,Shared Steps
