bug_id,bug_title,bug_description,bug_tags,priority,severity,area_path,iteration_path,state
42518,Teamcenter Infrastructure Configuration | Sandbox DTAG Sandbox 01 is not available,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI1\Sprint 1.1,Closed
45701,ADO: Status in Risk Board not correctly displayed,,,3,3 - Medium,104 newPDM\Agile Release Train,104 newPDM\PI1,Closed
45810,ADO: User Story with Status DoR are not visible on Board,,,2,3 - Medium,104 newPDM\Agile Release Train,104 newPDM\PI1,Closed
46107,"Central TEST-Environment: SSO problem - Jeff Markey does not exist in tenant ""Daimler Truck"" - login failure",,,2,3 - Medium,104 newPDM\Ticket,104 newPDM\PI1,Closed
46109,"User Shea, Reilly registered with wrong email address",,Team 3; Team 6,2,3 - Medium,104 newPDM\Ticket,104 newPDM\PI1\Sprint 1.2,Closed
46255,"Central TEST-Environment: SSO problem - tenant ""Daimler Truck"" - login failure",,,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI2,Closed
47756,Teamcenter Infrastructure Configuration | Central_TEST - PLMXML Export not working,,ALL Ous; Team 3; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2,Closed
47757,Teamcenter Infrastructure Configuration | Can not attach file to a design revision,,ALL Ous; Team 3; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2,Closed
48532,PO Check,,,2,3 - Medium,104 newPDM\Agile Release Train,104 newPDM,Closed
48705,Create Engineering Product BOM is showing error in AWC Test.,,PI1; Team 1,2,3 - Medium,104 newPDM\PLATON\Team 1,104 newPDM\PI1,Closed
52988,DevBox | Public IP and NSG are still created,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI1\Sprint 1.4,Closed
53056,DevBox | A new DevBox runs on error when updating system via zypper,,IaC; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI1\Sprint 1.4,Closed
54001,IaC | Pipelines are triggered on Pull Requests for infrastructure repo,,IaC; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI1\Sprint 1.4,Closed
54245,DevBox | Guacamole Role is removing all connections that are not part of the allowed,,IaC; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.1,Closed
56584,DevBox | Guacamole - only connections are added to the user but not the parent group,,IaC; IMPL; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.2,Closed
56587,DevBox | creation process gets stuck because reused ip address has different ssh host key,,IaC; IMPL; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.1,Closed
56605,DevBox | Create pipeline uses mig secrets library,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.1,Rejected
57402,"TC14_Client_w_BMIDE_SSO_v0.15 - Solved, but request for documentation in Wiki.",,Sprint 2.3,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI2,Closed
61076,DevBox | MSF containters are registered also from backup folder,,IaC; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.2,Closed
61595,WF | Multiply Simple ECO Workflow available,,,2,4 - Low,104 newPDM\PLATON\Team 3,104 newPDM\PI2,Closed
