bug_id,ground_truth_testcases,baseline_predicted_testcases,dense_reranked_predicted_testcases,hybrid_predicted_testcases,hybrid_reranked_predicted_testcases,predicted_testcases,hit@1,hit@3,hit@5,hit@10,mrr,ranking_method,retrieval_scores,reranker_scores,final_scores
168681,"[56744, 476830]","[188413, 315596, 113281, 162671, 312304, 448337, 155213, 287225, 477773, 311443]","[312304, 188413, 315596, 162671, 113281, 155213, 477773, 287225, 448337, 311443]","[155213, 56744, 476830, 316976, 162671, 311443, 162167, 287229, 195568, 197944]","[56744, 476830, 155213, 316976, 162671, 311443, 162167, 287229, 195568, 197944]","[56744, 476830, 155213, 316976, 162671, 311443, 162167, 287229, 195568, 197944]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61788,[61140],"[61140, 121467, 180397, 84114, 175602, 180306, 44315, 283679, 157487, 208214]","[61140, 44315, 121467, 180397, 157487, 208214, 84114, 180306, 175602, 283679]","[61140, 121467, 180397, 44315, 283679, 216708, 85447, 87472, 180342, 180357]","[61140, 180357, 87472, 180342, 85447, 121467, 180397, 44315, 283679, 216708]","[61140, 180357, 87472, 180342, 85447, 121467, 180397, 44315, 283679, 216708]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61793,[61140],"[61140, 121467, 180397, 124458, 197231, 84114, 175602, 180306, 84949, 94582]","[61140, 121467, 180397, 84949, 94582, 84114, 180306, 197231, 124458, 175602]","[61140, 197944, 121467, 180397, 197911, 94582, 162506, 180369, 298991, 303969]","[61140, 197944, 197911, 121467, 180397, 94582, 162506, 180369, 298991, 303969]","[61140, 197944, 197911, 121467, 180397, 94582, 162506, 180369, 298991, 303969]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
175899,"[62054, 84285, 180308, 197181, 476904]","[87041, 180356, 84114, 175602, 180306, 96685, 180376, 106315, 180387, 207370]","[87041, 180356, 180387, 207370, 106315, 96685, 175602, 180376, 180306, 84114]","[87041, 334895, 336002, 96685, 180376, 84114, 175602, 180306, 180356, 194787]","[334895, 87041, 336002, 96685, 180376, 180356, 175602, 84114, 180306, 194787]","[334895, 87041, 336002, 96685, 180376, 180356, 175602, 84114, 180306, 194787]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107659,"[66693, 180300]","[66693, 66714, 180302, 180300, 196726, 302792, 106478, 180389, 84912, 180328]","[66693, 66714, 180302, 180300, 196726, 302792, 106478, 180389, 84912, 180328]","[66714, 180302, 105317, 180385, 96685, 66693, 196726, 206638, 180376, 84676]","[66693, 66714, 180302, 206638, 196726, 105317, 180385, 96685, 180376, 84676]","[66693, 66714, 180302, 206638, 196726, 105317, 180385, 96685, 180376, 84676]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107669,"[66693, 180300]","[66693, 66714, 180302, 180300, 196726, 302792, 106478, 180389, 84912, 180328]","[66693, 66714, 180302, 180300, 196726, 302792, 106478, 180389, 84912, 180328]","[66714, 180302, 96685, 66693, 105317, 180385, 196726, 206638, 180376, 104652]","[66693, 66714, 180302, 206638, 196726, 96685, 180385, 105317, 180376, 104652]","[66693, 66714, 180302, 206638, 196726, 96685, 180385, 105317, 180376, 104652]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107446,"[66714, 180302]","[66693, 180300, 249124, 240295, 206786, 343885, 230998, 116954, 229495]","[66693, 180300, 206786, 229495, 249124, 240295, 343885, 116954, 230998]","[66693, 180300, 206638, 196726, 66714, 180302, 84676, 180318, 99386, 287215]","[206638, 196726, 66693, 180300, 66714, 180302, 84676, 180318, 99386, 287215]","[206638, 196726, 66693, 180300, 66714, 180302, 84676, 180318, 99386, 287215]",0,0,1,1,0.2,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107671,"[66714, 180302]","[66714, 97079, 180302, 180378, 66824, 180303, 66693, 180300, 84390, 180311]","[66714, 180302, 97079, 180378, 66824, 180303, 66693, 180300, 84390, 180311]","[66714, 180302, 188495, 97079, 180378, 66824, 180303, 252114, 66693, 180300]","[66714, 180302, 97079, 180378, 66824, 180303, 188495, 252114, 66693, 180300]","[66714, 180302, 97079, 180378, 66824, 180303, 188495, 252114, 66693, 180300]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
102920,[66804],"[96563, 83340, 105245, 180384, 140739, 104134, 96451, 95896, 180372, 162671]","[96563, 162671, 180384, 105245, 104134, 180372, 95896, 140739, 96451, 83340]","[84869, 180325, 84818, 180323, 203979, 66714, 97079, 180302, 180378, 85717]","[84869, 180325, 84818, 180323, 203979, 85717, 66714, 180302, 97079, 180378]","[84869, 180325, 84818, 180323, 203979, 85717, 66714, 180302, 97079, 180378]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
101408,[83668],"[84417, 180312, 256046, 230439, 435500, 83668, 243464, 244316, 197231, 220117]","[84417, 180312, 244316, 230439, 256046, 435500, 83668, 220117, 243464, 197231]","[85717, 180347, 84417, 180312, 86581, 180353, 83668, 96685, 180376, 220117]","[85717, 180347, 220117, 84417, 180312, 96685, 180353, 86581, 83668, 180376]","[85717, 180347, 220117, 84417, 180312, 96685, 180353, 86581, 83668, 180376]",0,0,0,1,0.1111111111111111,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104702,[83668],"[84081, 83668, 243428, 95896, 180372, 197231, 84083, 84114, 175602, 180306]","[83668, 84081, 243428, 175602, 84083, 84114, 180306, 197231, 180372, 95896]","[84081, 83663, 83988, 83990, 230735, 83668, 84083, 84114, 175602, 180306]","[83663, 83668, 84081, 83988, 83990, 230735, 84083, 175602, 84114, 180306]","[83663, 83668, 84081, 83988, 83990, 230735, 84083, 175602, 84114, 180306]",0,1,1,1,0.5,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101622,"[84869, 180325]","[84686, 84869, 180325, 96759, 88483, 93916, 95791, 180360, 180370, 84417]","[96759, 84686, 93916, 84869, 180325, 88483, 180360, 84417, 95791, 180370]","[85327, 180341, 197551, 84818, 180323, 203979, 84572, 180314, 86581, 180353]","[85327, 180341, 197551, 84572, 180314, 84818, 203979, 180323, 86581, 180353]","[85327, 180341, 197551, 84572, 180314, 84818, 203979, 180323, 86581, 180353]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101663,"[84946, 180331]","[84920, 180329, 84946, 180331, 85539, 180343, 93615, 180365, 197012, 91197]","[180331, 84946, 180329, 84920, 85539, 180343, 93615, 180365, 197012, 91197]","[85327, 180341, 197551, 84869, 180325, 84818, 180323, 203979, 84572, 180314]","[180325, 84869, 180341, 85327, 197551, 84818, 180323, 203979, 84572, 180314]","[180325, 84869, 180341, 85327, 197551, 84818, 180323, 203979, 84572, 180314]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102232,"[84114, 84574, 175602, 180306]","[84114, 175602, 180306, 84383, 175601, 180309, 84574, 84683, 180319, 162937]","[175602, 180319, 84683, 84114, 180306, 175601, 180309, 84383, 162937, 84574]","[231155, 84114, 175602, 180306, 197196, 194519, 84683, 180319, 188413, 249127]","[231155, 180319, 84683, 197196, 194519, 175602, 84114, 180306, 249127, 188413]","[231155, 180319, 84683, 197196, 194519, 175602, 84114, 180306, 249127, 188413]",0,0,0,1,0.16666666666666666,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102695,"[85861, 180349]","[84114, 175602, 180306, 84383, 175601, 180309, 85237, 180336, 197198, 95896]","[180309, 84383, 180306, 84114, 175602, 95896, 175601, 85237, 180336, 197198]","[84114, 175602, 180306, 84574, 84383, 175601, 180309, 85861, 180349, 95896]","[84114, 180306, 180349, 85861, 175602, 84383, 180309, 84574, 95896, 175601]","[84114, 180306, 180349, 85861, 175602, 84383, 180309, 84574, 95896, 175601]",0,1,1,1,0.3333333333333333,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101853,[83988],"[84081, 83990, 84083, 83988]","[84081, 83988, 83990, 84083]","[83663, 84081, 84083, 83668, 83990, 83984, 83988, 84089, 93624, 84114]","[83663, 83668, 84081, 83988, 83990, 84083, 83984, 84089, 93624, 84114]","[83663, 83668, 84081, 83988, 83990, 84083, 83984, 84089, 93624, 84114]",0,0,1,1,0.25,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104703,[83988],"[84081, 83990, 84083, 83988]","[84081, 83988, 83990, 84083]","[83663, 84081, 83668, 84083, 83990, 83984, 84114, 175602, 180306, 83988]","[83663, 83668, 84081, 83988, 83990, 84083, 83984, 175602, 84114, 180306]","[83663, 83668, 84081, 83988, 83990, 84083, 83984, 175602, 84114, 180306]",0,0,1,1,0.25,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103131,[87726],"[97814, 207187, 88483, 93916, 95791, 180360, 180370, 98591, 84686, 84815]","[97814, 207187, 88483, 180360, 93916, 95791, 180370, 98591, 84686, 84815]","[84818, 180323, 203979, 85327, 180341, 197551, 84869, 180325, 83663, 84572]","[83663, 84818, 180323, 203979, 84869, 180325, 197551, 180341, 85327, 84572]","[83663, 84818, 180323, 203979, 84869, 180325, 197551, 180341, 85327, 84572]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102287,"[84959, 180333]","[84912, 180328, 85327, 180341, 197551, 84441, 87041, 180356, 477281, 88483]","[84912, 180328, 84441, 85327, 180341, 197551, 87041, 180356, 477281, 88483]","[84912, 180328, 84081, 85735, 180348, 106478, 180389, 87041, 180356, 85327]","[84912, 180328, 84081, 106478, 180389, 85735, 180348, 87041, 180356, 85327]","[84912, 180328, 84081, 106478, 180389, 85735, 180348, 87041, 180356, 85327]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101349,[84081],"[84081, 84083, 83990, 93624, 83663]","[84081, 83990, 84083, 83663, 93624]","[83663, 84081, 84083, 83988, 83990, 83984, 68033, 83668, 93624, 84089]","[84081, 83663, 68033, 83990, 84083, 83988, 83984, 83668, 93624, 84089]","[84081, 83663, 68033, 83990, 84083, 83988, 83984, 83668, 93624, 84089]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102464,"[84941, 180330]","[197231, 105245, 180384, 244286, 84869, 180325, 104134, 95896, 180372, 162674]","[105245, 180384, 197231, 162674, 104134, 244286, 95896, 180372, 180325, 84869]","[86581, 180353, 84818, 180323, 203979, 84912, 180328, 84869, 180325, 85717]","[86581, 180353, 84912, 180328, 180323, 84818, 203979, 84869, 180325, 85717]","[86581, 180353, 84912, 180328, 180323, 84818, 203979, 84869, 180325, 85717]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
102771,[96759],"[84869, 180325, 85327, 180341, 197551, 84686, 95859, 180371, 88483, 93916]","[84869, 180325, 180371, 95859, 84686, 85327, 197551, 180341, 93916, 88483]","[84818, 180323, 203979, 86581, 180353, 85327, 180341, 197551, 84912, 180328]","[84818, 180323, 203979, 180328, 84912, 85327, 197551, 180341, 180353, 86581]","[84818, 180323, 203979, 180328, 84912, 85327, 197551, 180341, 180353, 86581]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102776,"[85447, 180342]","[85447, 180342, 220117, 216700, 104652, 180382, 84912, 180328, 106478, 180389]","[85447, 180342, 220117, 216700, 104652, 180382, 84912, 180328, 106478, 180389]","[84912, 180328, 84081, 106478, 180389, 316551, 104652, 180382, 87041, 84818]","[180389, 106478, 180328, 84912, 180382, 104652, 84081, 316551, 87041, 84818]","[180389, 106478, 180328, 84912, 180382, 104652, 84081, 316551, 87041, 84818]",0,0,0,0,0.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101804,[84081],"[84081, 83990, 84083, 84089, 93624]","[84081, 83990, 84083, 93624, 84089]","[83663, 84081, 84083, 83990, 83984, 83988, 68033, 83668, 84089, 93624]","[84081, 83663, 83990, 84083, 83984, 68033, 83988, 83668, 84089, 93624]","[84081, 83663, 83990, 84083, 83984, 68033, 83988, 83668, 84089, 93624]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101489,[84083],"[84081, 83990, 84083, 93624, 83663]","[84081, 84083, 83990, 83663, 93624]","[84081, 83663, 83988, 83990, 83668, 83984, 84818, 180323, 203979, 84083]","[84081, 83663, 84083, 83988, 83990, 83668, 83984, 84818, 180323, 203979]","[84081, 83663, 84083, 83988, 83990, 83668, 83984, 84818, 180323, 203979]",0,1,1,1,0.3333333333333333,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103984,"[84114, 175602, 180306]","[84114, 175602, 180306, 162671, 162651, 86099, 180350, 163017, 251786, 162674]","[175602, 162671, 84114, 180306, 162651, 163017, 162674, 251786, 86099, 180350]","[84114, 175602, 180306, 97269, 180379, 86099, 180350, 251786, 95791, 96465]","[175602, 84114, 180306, 97269, 180379, 251786, 86099, 180350, 96465, 95791]","[175602, 84114, 180306, 97269, 180379, 251786, 86099, 180350, 96465, 95791]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103997,"[84114, 175602, 180306]","[84114, 175602, 180306, 104137, 163017, 95791, 96465, 96688, 97269, 98204]","[84114, 180306, 175602, 104137, 95791, 96688, 96465, 163017, 98204, 97269]","[84114, 175602, 180306, 230735, 84383, 162927, 104137, 98204, 162666, 483944]","[84114, 180306, 175602, 84383, 230735, 104137, 162927, 98204, 483944, 162666]","[84114, 180306, 175602, 84383, 230735, 104137, 162927, 98204, 483944, 162666]",1,1,1,1,1.0,hybrid+reranked,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
